Title,Payment,Job type,Experience / Level,Description
БФ “Пацієнти України” оголошує конкурс на посаду менеджера проєкт,['Yes'],"['Remote', 'On-site / At the office']",,"БФ “Пацієнти України” оголошує конкурс на посаду менеджера проєктів з допомоги закладам охорони здоров’я під час війни.Основні завдання:координація проєктів, які стосуються надання гуманітарної допомоги лікарням під час війни:1) складання робочих планів діяльності за проектами;2) проведення регулярних стаф-мітінгів персоналу проектів з метою контролю ходу реалізації активностей проектів;  вирішення поточних організаційних питань, координація дій всіх залучених сторін;3) робота з документами: написання документів в межах реалізації запланованих заходів та документів на вимогу керівництва: листів, запитів, аналітичних довідок тощо;4) підтримка постійної комунікації з донорами під час реалізації проєктів;5) підготовка програмної звітності для донорів;6) взаємодія з партнерами БФ «Пацієнти України».Вимоги:вища освіта;вільне володіння українською та англійською мовами;досвід роботи від 3-х років у сфері менеджменту проєктів;ФОП на 3-ій групі єдиного податку з видом діяльності КВЕД 70.22 або готовність його відкрити;досвід роботи в ГО або у проектному менеджменті та обізнаність в питаннях, що стосуються сфери охорони здоров’я будуть додатковою перевагою під час прийняття рішення щодо співпраці з кандидатом на цю посаду.** Особисті якості кандидатів:**стратегічне мислення;націленість результат;вміння працювати в команді;висока здатність до самоконтролю;вміння працювати під тиском часу;увага до деталей;креативність та працьовитість;особиста орієнтованість на проєкти соціального характеру."
Надаю волонтерську допомогу,"['Yes', 'No']","['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Shifts']",,"Слава Україні! Привіт, я з Дніпра, маю трохи вільного часу. З радістю допоможу в цей не легкий для нас час,помию посуд, допоможу в приготуванні  їжі - все що завгодно."
Київ-Львів. Візьмуть вантаж,['No'],"['On-site / At the office', 'Part-time']",,"Київ-Львів, можу взяти валізи.. груз28 06 у другій половині дняЛегковий автомобіль універсал"
Чернівці-Київ. Візьмуть передачу,['No'],"['On-site / At the office', 'Part-time']",,"Я волонтер з Києва, зараз в Чернівцях. Зустрічаю сім'ю свою з закордону. Якщо щось потрібно з Чернівців передати на Київ ( ВПО або зсу) - можу взяти. Всі питання пишіть в приват."
08.07.22. Евакуація до Німеччини,['No'],"['On-site / At the office', 'Part-time']",,Евакуація людей до Німеччини з подальшим влаштуваннямРеєстрація за телефоном.Виїзд 8.07
Безкоштовні консультаціі щодо захворювань,['No'],"['On-site / At the office', 'Part-time']",,Безкоштовні консультаціі щодо захворювань та методів їх подолання. Військові та цивільні.Попередній запис.
Курс базової комп‘ютерної грамотності для людей у віці 50+,['No'],"['Remote', 'Part-time']",,"Освітній центр “Software and Computer Museum” оголошує набір на безкоштовний  онлайн-курс з програми Базової Комп'ютерної Грамотності для людей у віці  50+.Чекаємо всіх, хто хоче:✅навчитися або підвищити свої знання щодо володіння комп'ютером на базовому рівні;✅опанувати нові навички для підвищення кваліфікації в роботі;✅ пройти курс мобільної грамотності.Бажаєте навчатися?Будь ласка, звертайтесь за більш детальною інформацією за телефонами:"
Волонтер відеооператор,['No'],"['On-site / At the office', 'Contract']",,"Зніму благодійні, волонтерські роботи (Не комерція!). Не монтую, тільки зйомка під проєкт. На свою техніку не знімаю, або Ваша або рентал. Маю досвід у зйомці відео на фотоапарати, відеокамери та кінокамери. Працюю фріланс відеооператором."
Front End,"['Yes', 'No']","['Remote', 'On-site / At the office', 'Full-time', 'Part-time']",,"Ищу работу по фронтенд, с небольшой оплатой. Больше интересует возможность обучения. Сейчас учусь на курсах, но нужен опыт и помощь в обучении..."
Безкоштовні йога-практики,['No'],"['Remote', 'Part-time']",,"Пропоную безкоштовні короткі йога-практики, вправи для самодопомоги при стресі, мігренях, болях у тілі.Розповідаю про техніки дихання  і медитації. Йога - це не таємна практика для обраних, а дієвий інструмент для всіх."
Польща-Україна. Безкоштовно привезуть гуманітарну допомогу,['No'],"['On-site / At the office', 'Part-time']",,"У мене є автомобіль, який готовий БЕЗКОШТОВНО привезти гуманітарну допомогу з Польщі до України.https://t.me/VolunteerTalks/161800"
З Миколаєва перевезуть гум.допомогу,['No'],"['On-site / At the office', 'Part-time']",,"Допоможемо перевезти гуманітарну допомогу вагою 800кг. Транспорт знаходиться в Миколаєві, єдина потреба - паливо! Поїдемо до будь-якої точки України"
Філософсько-англійські читання,"['Yes', 'No']","['Remote', 'Part-time']",,"Прагнеш покращити англійську і пізнати щось нове? Поговорити з однодумцями на філософські теми англійською? Тоді долучайся до наших читань.Це не sleaking club, це саме reading club. Що ми будемо робити? 1. Читати філософську статтю - англійською. 2. Перекладати її - українською. 3. Підсумовувати і виділяти основну ідею - англійською. 4. Ділитися думками щодо прочитаного - англійською. Рівень - А2 - В2Ціна - будь яка сума, яка буде потім передана на волонтерство в Україну.Час - понеділок 17.30 і середа  20.30Місце -  zoom платформа. Для реєстрації заповни форму https://docs.google.com/forms/d/1pteYNlblYBCn7_mW_fbpUbNZDO5AEFUeilxY-otiog4/edit"
"Розбирання завалів, прибирання території",['No'],"['On-site / At the office', 'Part-time']",,Стосовно сьогоднішнього прильоту по жилому будинку на Лук‘янівці.Готові з хлопцями допомогти у розбиранні завалів/прибирання тереторії тощо.
"Волонтер з авто, перевезення",['No'],"['On-site / At the office', 'Part-time', 'Contract']",,"Вітаю!Хочу запропонувати свою допомогу як водій-волонтер. Є особисте легкове авто, можу безкоштовно відвезти/привезти гум допомогу, медикаменти, товари для наших військових або людей, які цього потребують. Напрямок Одеса-Молдова, Біляївка/Маяки (Одеська обл.) - Молдова або Паланка, Старокозаче. Можливо їхатиму також до Румунії.За професією айтішник, зараз запускаю з партнерами із Молдови волонтерський IT проект для України, у зв'язку з чим необхідно періодично їздити в цьому напрямі. Подумав, що було б непогано паралельно робити добрі справи)Буду радий допомогти!"
Напишу текст за донат,['Yes'],"['Remote', 'Contract']",,"Напишу інформаційний чи комерційний текст, пост у соцмережі чи прес-реліз за благодійний донат. Можливий рерайт тексту, що Вам сподобався. Пишу українською та російською мовами."
Вентиляція / Кондиціонування,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",,"ООО Гарант-С 20 років на ринку вентиляції і кондиціонування. Постачання будь-якого обладнання, проектування, монтаж, сервіс. Будемо раді співпраці у Києві та Київській області.0673201827 Фортунов Андрій"
Допомога в оформленні ветеринарних документів,"['Yes', 'No']","['On-site / At the office', 'Part-time']",,Допоможу в оформленні ветеринарних документів для вивезення тварин із України
Психолог,['No'],"['Remote', 'Part-time']",,"Команда психологів волонтерів допомагає з такими запитами:✔️ тривожні стани,✔️ панічні атаки, ✔️ розлади сну,✔️ дереалізація,✔️ дересоніфікація,✔️ проблеми з відносинами,✔️ непорозуміння з близькими людьми,✔️ адаптація та соціалізація.   ✅ Для громадян України, які перебувають у кризовому стані, пов'язаному з війною, послуги безкоштовні   ✅Кому потрібна психологічна допомога, пишіть в особисті   @yyyyysssss   ✅Запис на безоплатну установочну консультацію:           @psyonline_world"
Юридична допомога,['No'],"['Remote', 'Part-time']",,"Надаємо юридичну допомогу з різних питань, якщо вам потрібна консультація юриста, адвоката пишіть в особисті. Консультація безкоштовна. Працюємо по всій країні."
Виїзд медсестри для пенсіонерів безкоштовно,['No'],"['On-site / At the office', 'Part-time']",,"У таку нелегку годину наш медичний центр не залишається осторонь та продовжує свій волонтерських рух Адже у кожного свій фронт і наші лікарі не припинно боряться за Ваше здоров'яТому ми продовжуємо допомогу харків’янамДо 28.06.22 є можливість виклику медичної сестри додому абсолютно безкоштовно, сплачується лише вартість аналізів Дана пропозиція дійсна лише для людей похилого віку  65 + Виїзджаємо в усі райони міста Харків  Швидко та безболісно проведемо забір аналізів  З вартістю аналізів можна ознайомитися на нашому сайті Для запису телефонуйте за незмінними номерами або пишіть у приват"
Волонтерка на прості роботи. Швидко вчуся,['No'],"['On-site / At the office', 'Part-time']",,"Доброго дня, нещодавно переїхала до ІФ.Біженка, але хочу допомагати іншим у біді також. Може, десь потрібні додаткові руки. Навчусь, якщо потрібно"
27.06.22.Львів-Київ. Візьмуть гуманітарну допомогу,['Yes'],"['On-site / At the office', 'Part-time']",,"В понеділок зі Львова до Києва їде порожній бус. Може, комусь щось перевезти треба? Водієві лиш до пального докинути 1500 грн. Він ще допоможе повантажити і розвантажити"
Київ-Схід. Відвезуть гуманітарну допомогу,['No'],"['On-site / At the office', 'Part-time']",,"Вантажний бус 1.5 тонни. Їдемо з Києва на Схід -Дружківка-Краматорськ-Костянтинівка-Слов'янськ.Можемо відвезти гуманітарну допомогу -через Дніпро, -Павлоград, -Покровськ"
Чернівці-Київ. Візьмуть передачу,['No'],"['On-site / At the office', 'Part-time']",,"Я волонтер (Київ). З 27 по 30 буду в Чернівцях. Може, комусь треба щось доставити або забрати?"
Безкоштовний дизайн для волонтерських проєктів,['No'],"['Remote', 'Part-time']",,"Безкоштовно допомагаємо реалізовувати ідеї, що спрямовані на захист України в інформаційному просторі через:— Веб-сайти— Графічний дизайн— Брендинг— Постери, меми— Відео-роликиВодночас працюємо над волонтерськими проєктами, сплачуємо податки в Україні та віддаємо 20% від свого прибутку на допомогу ЗСУ. Ми обираємо складні задачі й ті, де потрібна якісна візуалізація. Заповнюйте анкету."
Перевезу вантаж з Одеси до Києва 25 червня,['No'],"['On-site / At the office', 'Part-time']",,"Зможу перевезти вантаж до 1,5 т.   10м3Оплата за пальне."
"Послуги в ІТ-, PR-сферах, дизайн",['Yes'],"['Remote', 'Full-time', 'Part-time', 'Contract', 'Shifts']",,"LIZARD GROUP 4.5.0. є колективом фахівців в ІТ-сфері, який займається всіма видами робіт зі створення сайтів, їх просування та забезпечення функціонування. І це лише одна з багатьох наших спеціалізацій.Ми надаємо послуги в наступних сферах:• Швидко та якісно виконуємо роботи від проекту, дизайну і розробки сайтів до їхньої підтримки, просування, забезпечення.• Проектування мобільних застосунків (мобільних версій).• Макети для поліграфії.• SMM, реклама, копірайтинг.• Робота з інформаційними ресурсами (онлайн, оффлайн).• Розробляємо проекти та візуалізацію від житлових до промислових приміщень, розробка інженерної документації.• Розробка та втілення PR-стратегій - як особистих кампаній, так і великих організацій.Завжди маємо креативні запровадження та оригінальні ідеї для покращення якості роботи та досягнення потрібного результату.Цінова політика лояльна."
Дніпро-Слов‘янськ. Безкоштовні перевезення для ЗСУ тощо,['No'],"['On-site / At the office', 'Part-time']",,"Для ЗСУ, НГУ, ДСНС, поліція, медики, волонтери відвезу безкоштовно посилки до Слов'янська, Краматорська з Кам'янського, Дніпра."
Юридична допомога,['No'],"['Remote', 'Part-time']",,"Надаємо юридичну допомогу з різних питань, якщо вам потрібна консультація юриста, адвоката пишіть в особисті. Консультація безкоштовна. Працюємо по всій країні."
Безкоштовні консультаціі щодо  захворювань організму,['No'],"['On-site / At the office', 'Part-time']",,Клініка Здоровя Людини продовжує волонтерську справу і надає безкоштовні консультаціі щодо  захворювань організму. Запис на консультацію за тел. 0989367813.
Автоволонтер,['No'],"['On-site / At the office', 'Part-time']",,Хотів би стати волонтером маю водійське посвідчення територіально знаходжусь в Закарпатті.
Онлайн-обмін для волонтерів та активістів,['No'],"['Remote', 'Part-time']",,"Американський дім у Києві запускає Camp Changemaking — програму онлайн-обміну для волонтерів та активістів. Це можливість поспілкуватися з ініціативними людьми з США та інших країн, налагодити зв’язок для спільних волонтерських проєктів, а також дізнатися, як працюють волонтерські ініціативи закордоном. Приєднуйся до програми, якщо зміни та дії — це про тебе. Під час Camp Changemaking ти зможеш:Дізнатися більше про великі та малі ініціативи від експертів та інших волонтерів, а також обмінятися власним досвідом щодо реальності волонтерства у твоїй країні сьогодні. Зустріти волонтерів з України, США та інших країн світу, які працюють на місцях і дистанційно, щоб пом’якшити наслідки найбільш нищівної війни в Європі з часів Другої світової війни. Поспілкуватися з однодумцями, щоб розв’язати власні проблеми, та об’єднати зусилля задля підвищення ефективності вашої волонтерської діяльності. Стати частиною культурного обміну, розвиваючи нові зв’язки через групові дискусії з учасниками з усього світу.Немає дрібних дій, так само як немає малих ідей! Запрошуємо подати заявку всіх, хто змінює світ на краще на будь-якому рівні. Більше інформації та реєстрація: https://www.americahousekyiv.org/camp-changemaking Зареєструйся та зроби ще один маленький крок до великих змін. Дедлайн реєстрації: 30 червня, 10:00 за київським часом."
Хататон 3.0: NFT Edition,['No'],"['Remote', 'Part-time']",,"Привіт! Всім, кому цікава тема NFT (зокрема, візуальний арт, фото, відео, музика) є гарна можливість — Хататон 3.0: NFT Edition, який організовують House of Europe, Goethe Institut в Україні та Digitizing Space. До 10 липня триває набір учасників та менторів, сам Хататон відбудеться онлайн з 11 по 23 липня.Участь безкоштовна, у програмі:освітня частина для початківців та досвідчених;практичний інтенсив з можливістю виграти призи;і, звісно, наш улюблений нетворкінг:)Деталі та реєстрація на сайті: https://bit.ly/3zDvh4a"
25-26.06.22 Кременчук-Київ-Луцьк. Перевезуть гуманітарний вантаж,['No'],"['On-site / At the office', 'Part-time']",,"Є можливість безкоштовного трансферу гуманітарного вантажу Коли? Кінець тиждня - 25.06.2022 (СБ) - 26.06.2022 (НД)Куди? Кременчук => Київ => ЛуцькДо 900 кг факт і до 1,5 куба об‘ємНаявність документів на вантаж обов‘язково."
Відпочинок у Німеччині для дітей-сиріт,['No'],"['On-site / At the office', 'Full-time', 'Part-time']",,Є можливість відправити 50 дітей-сиріт на відпочинок до Німеччини на місяць-два. Якщо хтось веде комунікацію з дитбудинками-пишіть у приват у тг.
Кременчук-Луцьк. Перевезуть гуманітарну допомогу безкоштовно,['No'],"['On-site / At the office', 'Part-time']",,"Маємо вантажний бус (до 900 кг) та водія.Допомагаємо волонтерським та громадським організаціям у перевезенні гуманітарного вантажу, Можемо також перевозити людей.Допомагаємо безкоштовно.Відвеземо гуманітарний груз з КРЕМЕНЧУКА ДО ЛУЦЬКУ.Обов'язково! Наявність реєстраційних документів організації та документів на вантаж .Звертатися в особисті повідомлення."
Безкоштовні майстер-класи від художньої школи з України Open Art,['No'],"['Remote', 'Part-time']",,Ми художня школа з України   Open Art AcademyЗапрошуємо всіх українців на БЕЗКОШТОВНІ майстер-класи для дорослих та дiтей. Хочемо домопогти чим можемо. Для проведення дозвілля.Переходьте на сайт: https://openartacademy.com/Підписуйтесь та стежте за новинами ОАА у соцмережах:Телеграм: https://t.me/openartacademyфейсбук: https://www.facebook.com/oartacademyІнстаграм: https://www.instagram.com/openartacademy/Давайте малювати разом! Вчіться та відволікайтесь - бо малювання це Арт терапія.Для художників бажаючих ділиться своїми навичками пишіть на e-mail oartacademy@gmail.com
Послуги написання контенту на укр./рос./англ. мовах.,['No'],"['Remote', 'Part-time', 'Contract']",,"Рівень англійської - upper-intermediate, люблю писати особистий блог на англійській, вільно виражаю на ній думки. Можу спробувати себе в написанні копірайту по заданим темам."
Маю значний досвід менеджменту команди тестувальників в IT сфері.,['No'],"['Remote', 'Part-time', 'Contract', 'Shifts']",,"Я дуже люблю свою роботу, яка полягає в керівництві підрозділом тестувальників - починаючи від визначення поточних задач, перевірки ходу їх виконання, завершуючи проведенням аналізу загальної успішності підлеглих та побудовою планів розвитку на наступний період. Якщо такі скіли Вам знадобляться - прошу відгукнутися :)"
Потрібні вантажники,['Yes'],"['On-site / At the office', 'Contract']",,Потрібні вантажники на розвантаження фури
Автоволонтер. Польща-Україна,['No'],"['On-site / At the office', 'Part-time']",,"-Є бажання возити з Польщі ліки, товари, будь-що для потреб ЗСУ.-Легкове авто сідан з великим багажником та салон.-Тільки офіційне оформлення"
Безкоштовні веселі старти для дітей переселенців з гарячих точок.,['No'],"['On-site / At the office', 'Part-time']",,Що буде:-Солодощі-Арт терапія -Аніматори -Спортивні змаганняРеєстрація : https://www.poruch.org.ua/?page_id=1166
"Перевезення по Харкову, області, до Полтави за бензин","['Yes', 'No']","['On-site / At the office', 'Part-time']",,"Перевезення по Харкову та області, також до Полтави, Дніпра та Сум на підконтрольній ЗСУ території за ваш бензин в обидві сторони. Легкове авто універсал (до 500кг)"
22.06. Львів-Київ. Перевезуть вантаж,['Yes'],"['On-site / At the office', 'Part-time']",,Львів-Київ. 22.06 шукаю вантаж 10 тонн 17 піддонів.
Шукаю роботу водієм категорії Б,['Yes'],"['Remote', 'Full-time']",,
Зварювальні роботи як допомога ЗСУ,['No'],"['On-site / At the office', 'Part-time']",,"Мене звуть Олександр, я займаюся зварювальними роботами в місті Покровськ ( Донецької області). Хочу допомагати нашим військовослужбовцям з їх транспортом."
Виконую послуги письмового перекладу з англiйськоi/на англiйську,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract']",,
Чоловік ВПО шукає роботу охоронцем,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",,Чоловік ВПО шукає роботу для забезпечення сім'ї.
Чоловік ВПО шукає роботу у сфері ремонту техніки,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",,Чоловік ВПО шукає роботу для забезпечення сім'ї.
Чоловік ВПО шукає роботу у сфері підтримки клієнтів,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",,Чоловік ВПО шукає роботу для забезпечення сім'ї.
Чоловік ВПО шукає роботу на будівництві,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",,Чоловік ВПО шукає роботу для забезпечення сім'ї.
Чоловік ВПО шукає роботу на виробництві,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",,Чоловік ВПО шукає роботу для забезпечення сім'ї.
Чоловік ВПО шукає просту фізичну роботу,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",,Чоловік ВПО шукає роботу для забезпечення сім'ї.
Чоловік ВПО шукає просту онлайн-роботу,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",,Чоловік ВПО шукає роботу для забезпечення сім'ї.
Волонтер з легковим автомобілем,['No'],"['On-site / At the office', 'Part-time']",,"Хочу працювати волонтером,Є легковий автомобіль.Відпишіться у приват в телеграмі.Рівненська область, місто Сарни."
ЗД моделювання для військових,['No'],"['Remote', 'Part-time']",,"Приятель займається 3д моделюванням та запропонував свою допомогу, можливо, військовим потрібні якісь детальки і т. д."
"Плетіння маскувальних сіток, приготування їжі",['No'],"['On-site / At the office', 'Part-time']",,"Я б хотіла допомогати чим зможу. Плетіння, приготування їжі, вся допомога. Якщо потрібна, звертайтесь"
Розмова в zoom про інформаційні вкиди росіян,['No'],"['Remote', 'Part-time']",,"Відбудеться зустріч з Оксаною Мороз, засновницею волонтерської ініціативи «Як не стати овочем», де поговоримо про останні інформаційні вкиди росіян, як швидко розпізнавати ІПСО та «не брати дурного в голову». Можливо, комусь із вас буде цікаво.Як росія воює за ваші мізки. Так-так, саме за ваші! Коли: 23 червня о 17:00Де: ZoomЗустріч безкоштовна, але обовʼязкова попередня реєстрація. Після реєстрації вам прийде лист з посиланням на Zoom."
Виготовлення та монтаж вікон. Металопластикові конструкції.,['Yes'],"['Remote', 'On-site / At the office', 'Full-time']",,"Виїзд на замір, виготовлення конструкцій. Монтаж. Зварювальні роботи. Внутрішня та зовнішня обшивка балконів"
Шукаю роботу Junior Java Developer,['Yes'],"['Remote', 'On-site / At the office', 'Full-time']",,"Я здобув ступінь бакалавра комп’ютерних наук Національного університету «Львівська політехніка». В університеті 3 роки вивчав алгортми, мови програмування, виконував курсові роботиМоя основна увага зосереджена на бекенд-технологіях Java. Маю 6 місяців досвіду роботи з Java.  Я віддаю перевагу таким технологіям, як Java, HTML, CSS, MySQL.  Зараз я проходжу курси Java Developer в Logos IT Academy.Я хотів би мати можливість приєднатися до вашої команди, де я можу використовувати свої знання Java."
Пропоную свої послуги 2D-анiматора,['No'],"['Remote', 'Contract']",,"Пропоную послуги 2D аніматора. Є ідея створення анімаційного проекту, присвяченого війні. Потрібні ті, хто зможе взятися за озвучку відео, і ті, хто зробить ілюстрації.Приклади моїх робіт:https://youtu.be/qucKXzvxGe0"
Переклади (англійська мова),['Yes'],"['Remote', 'On-site / At the office', 'Part-time']",,"Професійний перекладач. Виконую письмові та усні переклади. Досвід роботи: 8 років в американських компаніях. Бажаний формат роботи: онлайн. Проте, якщо вам потрібна офлайн допомога, будь ласка, попереджайте хоча б за день."
Уроки англійською мови онлайн і офлайн,"['Yes', 'No']","['Remote', 'On-site / At the office', 'Full-time', 'Part-time']",,"Викладач англійської мови.У зв'язку з війною ціна занять значно нижча. Набираю невеликі групи (4-5 осіб). Залишилося знайти трьох охочих до онлайн-групи. Офлайн гурти вже працюють.Займаюся з підлітками (починаючи з 12 років) та дорослими. Бажано онлайн. Але якщо у вас немає комп'ютерів, можна і в мене. Правий берег, район 16-ї лікарні.Для тих, у кого дуже погано з грошима, проводжу БЕЗКОШТОВНІ вебінари з граматики (1 раз на тиждень, у неділю). Група зібралася, можна приєднатися будь-якої миті! Вебінари підійдуть усім, хто вивчає англійську 12+. На вебінарах багато практики. Група в Телеграм: https://t.me/+Ln3bIa_pVAJhNDY6"
Перевеземо гуманітарний вантаж з Польщі,['No'],"['On-site / At the office', 'Part-time']",,Перевеземо гуманітарний вантаж з Польщі до України.В нас невелика машина-спринтер Т5.Цього тижня є дозвіл на перевезення ліків. Допоможемо безкоштовно.
Шукаю роботу водієм,['Yes'],"['On-site / At the office', 'Full-time', 'Part-time']",,"Водій категорій А,В,С,Е.Працюю в Україні та Європі. Стаж - 3 роки роботи закордоном. 44 р."
Стану волонтером (Водій).,['No'],"['On-site / At the office', 'Full-time']",,"Хочу використати свій вільний час з користю, адже зараз я у відпустці за свій рахунок і на невизначений термін. Маю водійське посвідчення кат. В, С.Можливо ГО чи фондам потрібні волонтери. Звертайтеся!"
Шукаю роботу водієм,"['Yes', 'No']","['On-site / At the office', 'Full-time']",,Маю категорії BCDE.
Пропоную свої послуги Системного адміністратора,"['Yes', 'No']","['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",,"Доброго здоров'я!Можу допомогти:- Налаштування та комутація мереж- Міграція сайту на інший сервер- Тех підтрима користувачів- Виявлення проблем з комп'ютером, сервером- ВідеоспостереженняТа багато іншого, пишіть буду радий відповісти.Зараз знаходжусь у Вінниці, розглядаю релокейт до Києва або Харкова, якщо будуть постійні обов'язки.Якщо є волонтери, кому треба допомога, буду радий допомогти."
Шукаю роботу водієм,"['Yes', 'No']","['Remote', 'On-site / At the office', 'Full-time', 'Part-time']",,"Маю можливість виїзду за кордон, маю права категорії В"
Англійський переклад,['No'],"['Remote', 'Part-time', 'Contract']",,"Наразі знаходжусь за кордоном і дуже хочу допомагати тим, чим можу. Англійська - рідна мова. Вже 2,5 роки займаюся перекладами, добре розуміюся в цьому. На початку війни певний час робила волонтерські переклади в Медіацентрі Україна."
"Зустрічі жінок, Киів, арт-терапія, психологічна підтримка","['Yes', 'No']","['Remote', 'On-site / At the office', 'Part-time']",,"Запрошую жінок на групові зустрічі, в програмі: психологічні та езотеричні вправи для емоційної підтримки, арт-терапія, тематичні заняття. Перше відбудеться у понеділок 20.06, метро Позняки, тема ""Молитва Мами"", веду російською мовою, спілкуємося зручною для вас. Подробиці на каналі ""Выбираю Жизнь * Обираю Життя"", посилання на канал дивіться нижче. Платні та безкоштовні заняття, за співбесідою. https://t.me/+oIEAlsXxXMA5OGNi"
Шукаю віддалену роботу дизайнера-ілюстратора,['Yes'],"['Remote', 'On-site / At the office']",,"Мене звати Вікторія. Я дизайнер-ілюстратор. Займаюсь дизайном інфопродуктів, створюю ілюстрації на замовлення. Впевнений користувач Adobe Illustrator/Photoshop, Canva, Figmaдодатково займаюсь відеомонтажем різних роликів"
Шукаю віддалену роботу,['Yes'],"['Remote', 'Full-time']",,"Шукаю віддалену роботу або роботу в офісі (Полтавська область). Магістр психології.Маю досвід роботи. Готова опанувати щось нове, швидко вчуся, готова до роботи з людьми, готова надавати волонтерську допомогу."
Шукаю віддалену роботу з навчанням,['Yes'],"['Remote', 'Full-time', 'Part-time']",,"Необхідна робота, бажано віддалена. Зараз проживаю як переселенка, сама з міста Авдіївки. Мені 20 років, після початку військового положення не працюю."
Проводжу заняття для дітей 5-6 років,['Yes'],"['Remote', 'Part-time']",,"Заняття з підготовки дитини до школи, 5-6років. Вивчаємо цифри, літери, читаємо склади."
Шукаю роботу,['Yes'],"['Remote', 'Part-time']",,Шукаю роботу перекладача з російської на українську мову.
Англійсько - українські переклади,['No'],"['Remote', 'Part-time', 'Contract']",,"Анлійська - рідна моваЗаймаюся перекладами вже 2 роки.Хочу допомогати, чим можу"
"Харків, Полтава, Дніпро, Суми. Перевезення за бензин","['Yes', 'No']","['On-site / At the office', 'Full-time', 'Part-time']",,"Перевезення по Харкову та області, також до Полтави, Дніпра та Сум на підконтрольній ЗСУ території за ваш бензин в обидві сторони. Легкове авто універсал (до 500кг)"
16.06. Дрогобич - Львів - Київ - Дніпро,['No'],"['On-site / At the office', 'Part-time']",,Дрогобич - Львів - Київ - Дніпро. 16.06. Є місце для гуманітарки тощо.
"Копірайтер, рерайтер",['Yes'],"['Remote', 'Full-time']",,Можу писати хороші тексти для опису будь-чого.
Евакуація з міст та сіл Донецької області,['No'],"['On-site / At the office', 'Part-time']",,"Організуємо безкоштовну евакуацію з міст та сіл Донецької області, підконтрольних Україні або сірим зонам. Бахмут,Краматорськ,Костянтинівка та ін. Пишіть заявки на номер."
17.06. Львів-Київ. Перевезуть гум.вантаж за пальне,['No'],"['On-site / At the office', 'Part-time']",,"Шукаю вантаж до 1400кг Львів-Київ. 17.06. Гуманітарний вантаж за пальне, комерція по домовленості."
18.06. Полтава-Харків-Полтава. Безкоштовно перевозять людей,['No'],"['On-site / At the office', 'Part-time']",,Безкоштовно перевозимо людей: Полтава - Харків -  Полтава. Мікроавтобус Mercedes-Benz.Виїзд з Полтави 18.06.2022 о 08:00Виїзд з Харкова 18.06.2022 о 16:00Бронювання місць за попереднім записом.Телефонувати за номером +38 (095) 360 05 35.
"SMM-менеджер, SMM-консультації (Instagram,Tik Tok)",['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract']",,"Привіт!Мене звати Аліна, я SMM-спеціаліст із Полтави. У цій сфері вже 3 роки.Я впевнена у своїх навичках, не боюся складнощів та легко зануруюся у нові для мене теми. Відкрита до рекомендацій та конструктивної критики. Переважно працюю з малим бізнесом. Моє найголовніше досягнення у кожному проєкті — збільшення прибутку власників та їх нові клієнти.Що я пропоную:- бріфування, аудит сторінок, вивчення ринку, клієнтів та конкурентів;- розробка та реалізація SMM-стратегії;- складання контент-плану дописів та історій, написання текстів;- підготовка креативів для публікації (фото, відео, графіка);- створення UGC-контенту;- налаштування таргетованої реклами, підбір та спілкування з блогерами;- впровадження активностей, організація конкурсів, партнерства;- модерація сторінки, робота з коментарями, відгуками;- аналіз ефективності просування та звітування."
Волонтерський нетворкінг,['No'],"['On-site / At the office', 'Part-time']",,"Відповідаю на терміновий запит від волонтерів на ""пагаваріть"".В цей четвер 18:30 в Самосаді (Волоська 19\22) Київ, робимо волонтерський нетворкінг. Можна буде познайомитися з людьми, обмінятися досвідом, подумати що робити далі і просто відпочити трохи. Приходьте обов‘язково і кличте волонтерів, яких знаєте!"
"Допоможу з роботою з таблицами Ексель, та документами.",['No'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",,"Допоможу з роботою з базами даних, таблиці чі документи. Можливо інша робота Також є водійське посвідчення можу допомагати в інших сферах."
Перевезуть гуманітарний вантаж з Ужгорода,"['Yes', 'No']","['On-site / At the office', 'Part-time']",,"-Можу перевезти гуманітарку Вінниця, Тернопіль,Хмельницький , Одеса, Миклолаїв, -їду з Ужгорода по п ятницях. -Можу перевезти до 1 тон бус івеко"
